SIZE_HA	FIRE_DATE	FEAT_AREA	FEAT_LEN
22.9	19330815	229302.466	2241.2951
167.7	19310802	1677243.831	6959.2585
5.2	19350622	52495.8528	894.1622
241.4	19310727	2414627.829	6485.3962
10.3	19380718	103414.058	1248.5874
40.1	19391008	401013.2624	2313.6816
97.7	19380721	977850.9116	4989.9006
300.9	19360727	3009381.772	7217.8453
7.6	19340708	76513.7451	1121.7049
5.2	19340709	52587.9584	882.3093
310.1	19390726	3101893.017	8049.8301
218.9	19340726	2189826.007	7245.9531
4.6	19340730	46019.6992	931.4893
6.5	19370718	65704.064	945.2433
5.2	19320611	52784.4917	1487.68
1162.3	19360716	11623789.53	28839.5787
1.5	19380615	15537.5063	466.6798
4.3	19380525	43409.1259	891.8218
8.5	19380611	85494.3538	1114.3675
15.6	19320714	156022.1007	1596.0802
14.3	19340727	143071.9023	1658.9102
9114.7	19340727	91147938.18	42177.7965
59	19380620	590424.7876	3252.2085
101.8	19390808	1018655.329	4942.3998
25.6	19360523	256308.4416	2225.074
798.7	19310721	7987395.687	11225.7299
343.4	19310720	3434566.274	8709.0916
1	19360421	10094.9813	381.0904
12.7	19380622	127507.6337	1568.3091
9.5	19390513	95674.4605	1270.6942
2.1	19390513	21413.3674	596.0116
3.3	19390513	33635.8052	780.7831
3.3	19390513	33045.4738	769.3823
5.7	19390513	57546.0165	950.8898
83.7	19380603	837422.536	4590.4896
93.1	19350603	931417.4674	4280.7457
80.7	19380605	807806.8035	3823.2982
15.9	19340706	159659.6081	1490.505
3.4	19370720	34667.3886	738.6474
45.6	19310424	456080.6767	2599.6538
120.9	19310421	1209453.464	4240.7205
637.9	19310422	6379753.71	12752.9828
105.2	19330824	1052011.691	4390.4518
2.8	19320624	28039.1624	817.1757
4.9	19380727	49244.2195	858.6043
2.2	19380727	22808.4917	552.5417
2.6	19340727	26683.6312	634.2417
96.1	19340727	961700.5582	6196.4655
4.7	19310823	47980.0723	1261.6081
94.3	19310823	943032.6553	5159.7772
5.4	19360722	54033.7483	894.6896
50.7	19360728	507094.1404	2956.339
4.6	19360806	46617.5876	814.557
43.2	19360805	432659.6988	2782.0392
48.6	19330825	486233.2603	2814.87
112	19380620	1120410.457	5306.9651
206.5	19390704	2065092.945	5936.3377
120.3	19360810	1203355.013	4207.8941
280.3	19310722	2803964.08	10864.0254
45.6	19360818	456640.4807	4594.6728
88.1	19390815	881928.8393	4018.6371
12.7	19340827	127803.4271	1565.2997
369.7	19390818	3697138.734	8323.3137
617.5	19390813	6175003.714	11559.9449
8.3	19390830	83040.1575	1121.6305
8.9	19391001	89155.4089	1266.4546
2	19380724	20811.9955	527.2857
2903.2	19330706	29032550.31	22213.4279
10	20070516	100884.5291	1484.7218
36	19320824	360924.5011	2685.5237
19.8	19380804	198117.7301	1990.6618
2	20070516	20562.963	568.2481
2.7	19350926	27016.6136	650.5354
6.6	19380803	66790.8498	1036.02
1.6	19340604	16062.2806	547.3497
24.4	19380902	244458.2093	1880.0222
13.4	19380919	134144.468	1808.3459
1189.6	19360721	11896804.58	18991.6653
1.2	19330819	12663.3682	502.7547
4.3	19330819	43165.7986	838.2192
41.9	19310505	419726.1721	3394.8455
92.3	19370524	923738.4405	4008.0864
7	19380514	70523.3211	987.2701
10.7	19370510	107501.2565	1617.9081
10	19380515	100555.7285	1243.1418
26.9	19340426	269201.89	2867.2084
0.4	19380519	4818.0076	290.2575
5	19310601	50690.0721	911.2996
0.4	19310601	4345.7378	259.7547
2.5	19310601	25434.049	630.8708
67.4	19310601	674455.0199	4648.2623
841.2	19310601	8412270.272	17143.1964
98.5	20070516	985317.2395	3931.9605
9.4	19310720	94552.5346	1370.8851
113.8	19360530	1138498.589	5140.941
31.7	19350723	317223.2887	2223.0846
996.2	19380706	9962293.289	17534.004
231.8	20070516	2318962.047	7025.0737
10.3	19310720	103638.9052	1646.3369
14	19310720	140056.7353	1889.099
3	19310720	30727.6354	725.1821
62.3	19320517	623387.4913	3225.1839
81.8	19360430	818101.589	5522.8627
25.2	19370530	252134.5267	2952.5646
1.7	19380601	17810.8531	569.5585
10.5	19380605	105887.6101	1632.8285
71.4	19310517	714321.4634	3523.851
72	19310520	720321.5557	3724.3575
6.4	19320610	64947.7261	1050.4724
10.6	19320611	106227.6379	1359.7837
104.3	19350902	1043772.514	3791.0581
93.7	19310529	937307.8949	4064.8889
13	19340530	130537.3769	1408.3362
0.9	19320819	9276.7251	349.4979
1185.4	19310602	11854448.25	19865.7072
0.6	19370608	6613.4086	303.1789
217.7	19360814	2177386.887	5725.9386
362.7	19310422	3627395.86	9340.0077
552.9	19330824	5529157.276	10918.7567
1.6	20070516	16286.6599	509.9164
57.8	19310422	578267.0926	3216.4296
2112.6	19380613	21126882.66	27773.4094
24.8	20070516	248604.7287	1866.4559
11.7	19390820	117412.0631	1398.4907
26.7	19310423	267671.2388	2134.2279
28.7	19340902	287045.6001	2018.317
123.6	19360810	1236210.239	5094.8291
405.4	19380629	4054110.493	9021.9581
349.6	19310818	3496543.679	9195.7819
8.5	20070516	85146.1361	1179.4794
62	19310824	620701.2579	3146.5667
7.5	19380803	75553.6263	1002.1506
8.8	19380903	88745.0342	1079.6644
6.7	19381002	67353.5883	1010.8731
9.3	19340626	93137.018	1214.8356
81.2	19360429	812207.2174	3975.2788
21.3	19310608	213808.5219	2315.9531
209.9	19320602	2099521.97	7125.5513
13.6	19310426	136914.2886	1823.1713
6.7	19320501	67063.903	1024.7367
20.6	19350523	206651.5379	1895.8736
24.9	19380820	249948.9786	1823.1852
12.7	19370609	127497.7946	1745.3929
38.1	19370609	381654.2346	2692.4772
0.3	19310602	3506.1635	226.1947
55.5	19310424	555222.8027	3576.461
233.6	19320629	2336318.486	5750.8438
33.8	19310510	338004.2945	2747.0162
0.9	19380714	9008.7242	392.4057
4.5	19340613	45239.2986	810.1891
118	19310512	1180459.893	5726.8392
23.2	19310424	232525.6266	2403.3447
54.5	19310428	545052.497	3274.9179
14.7	19320425	147328.5236	1592.0904
42.1	19360513	421125.222	3927.3471
35.9	19320512	359025.3114	3826.2658
48	19340513	480301.9317	2814.9196
11.6	19340515	116952.1892	1385.312
287.4	19380522	2874872.001	8714.967
8.2	19370504	82899.1447	1490.7425
17.3	19370427	173412.2277	2456.7217
21.8	19340527	218738.6613	2722.4983
19.4	19320527	194493.6584	1723.0409
3123.2	19320529	31232329	43139.126
3.2	19370505	32486.7254	974.6094
2.1	19370524	21051.0274	524.932
92.6	19310513	926024.4992	5015.9405
64.6	19310417	646141.9278	3659.2954
59.4	19310426	594373.0307	3895.5871
180	19310521	1800116.572	5699.4843
1.9	19320609	19791.3777	550.9805
3431.1	19320611	34311492.28	46507.0228
32	19320610	320493.9413	2435.8671
1.2	19380621	12444.8326	404.432
174.3	19340415	1743613.504	7134.0963
5.3	19340517	53625.7724	839.7123
9.2	19310428	92992.964	1179.069
1.2	19320815	12245.075	413.6818
5.5	19340815	55325.9894	1010.374
1.9	19370506	19964.0077	690.756
18.5	19310425	185381.2958	1895.5503
27	19340725	270402.8693	2962.7665
2	19320815	20859.0151	522.2796
1.5	19320815	15194.0389	450.2206
51.5	19370428	515594.0988	2785.6902
2.7	19370501	27921.2905	673.3335
6.5	19390428	65626.5611	942.1358
2	19320816	20116.3597	528.949
86.8	19310608	868373.8416	3711.7982
2.1	19340728	21487.744	557.2566
3.4	19370501	34613.5889	704.6402
43.4	19370430	434864.1691	2770.2556
11	19340417	110434.4798	1306.0596
1	19340814	10822.7584	391.0785
10.4	19390825	104844.1496	1168.2882
7.3	19380901	73043.9026	987.6327
2.7	19340524	27896.1953	666.6319
6.3	19340417	63761.3907	952.683
133.2	19340828	1332410.505	4904.0524
254.9	19340825	2549379.976	7957.1597
211.5	19310730	2115970.297	5972.52
91.1	19310429	911386.7635	4141.0569
44.5	19340919	445025.7897	3010.8148
465.3	19310802	4653280.452	7809.4442
20.3	19310427	203524.6569	1701.0256
4.1	20070516	41936.5573	783.2964
5.4	19390910	54901.6786	1248.4531
19.9	19361021	199220.2977	2335.6165
31.2	19361017	312633.0866	2177.7277
4858.8	19310808	48588360.88	31252.484
496.4	19390428	4964429.538	15254.5633
123.5	19351004	1235634.778	6843.5339
14.5	19351002	145888.1491	1396.0581
12.9	19320817	129453.6016	1291.2905
11.5	19351007	115229.6209	1447.7571
1.6	19320826	16221.6933	498.6696
0.9	19320828	9156.31	350.3557
1.5	19370905	15801.9971	466.4801
3.1	20070516	31416.7397	673.5198
13.3	19320909	133568.2487	1425.8451
3.8	19320909	38003.1997	712.4218
192.8	19320908	1928520.303	7690.6229
176.5	19340725	1765380.946	5285.271
28.5	19390811	285375.1475	2145.6405
72.3	19340810	723503.8663	3564.1626
4.1	20070516	41002.9774	753.9101
6.2	19380901	62113.213	1238.0133
43.2	19340417	432836.9252	2448.0239
62.4	19390426	624219.4966	3505.2348
74.5	19340417	745677.5424	3228.5895
1.5	19320728	15159.063	451.2635
63.2	19320727	632297.8533	3389.0192
6.8	19320731	68889.3403	954.7248
4.1	19340423	41586.4028	737.0725
0.8	19320728	8600.3427	338.6745
12.1	19340425	121386.8459	1335.8819
281.8	19350903	2818331.767	8008.5482
3148.1	19330724	31481357.94	32873.1354
25.5	19340706	255589.1153	2420.1829
3.4	19340709	34160.9723	766.7051
27.2	19310424	272259.1984	2503.881
93.9	19310424	939487.347	4008.9564
